structure,pdb,fv,success,reason_for_failure,location_of_failure
5vkk_H0-L0,5vkk,H0-L0,True,,
5vkk_A0-B0,5vkk,A0-B0,True,,
5vl2_A0,5vl2,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5vl2_C0,5vl2,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5vl2_D0,5vl2,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5vl2_E0,5vl2,E0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5vl2_F0,5vl2,F0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5vl2_G0,5vl2,G0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5vl2_B0,5vl2,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5vl2_H0,5vl2,H0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
4xvs_H0-L0,4xvs,H0-L0,True,,
5vl3_A0-B0,5vl3,A0-B0,True,,
5vl3_C0-D0,5vl3,C0-D0,True,,
5vl3_E0-F0,5vl3,E0-F0,True,,
5vl3_H0-L0,5vl3,H0-L0,True,,
5vl7_H0-L0,5vl7,H0-L0,True,,
5vlv_A0,5vlv,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
4xwg_H0-L0,4xwg,H0-L0,True,,
5vm0_B0,5vm0,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5vm0_A0,5vm0,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5vm4_B0,5vm4,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5vm4_C0,5vm4,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5vm4_D0,5vm4,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5vm4_E0,5vm4,E0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5vm4_F0,5vm4,F0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5vm4_G0,5vm4,G0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5vm4_H0,5vm4,H0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5vm4_J0,5vm4,J0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5vm4_K0,5vm4,K0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5vm4_L0,5vm4,L0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5vm4_A0,5vm4,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5vm4_I0,5vm4,I0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5vm6_A0,5vm6,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5vn3_H0-L0,5vn3,H0-L0,True,,
5vn3_K0-N0,5vn3,K0-N0,True,,
5vn3_M0-O0,5vn3,M0-O0,True,,
5vn8_F0-J0,5vn8,F0-J0,True,,
5vn8_H0-L0,5vn8,H0-L0,True,,
5vn8_I0-K0,5vn8,I0-K0,True,,
7m55_H0-L0,7m55,H0-L0,True,,
7mlh_C0-A0,7mlh,C0-A0,True,,
7mlh_E0-D0,7mlh,E0-D0,True,,
7z86_X0,7z86,X0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7z86_Y0,7z86,Y0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7z86_Z0,7z86,Z0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7ue9_H0-L0,7ue9,H0-L0,True,,
8dto_G0-H0,8dto,G0-H0,True,,
8dto_C0-D0,8dto,C0-D0,True,,
8dto_K0-L0,8dto,K0-L0,True,,
7su0_H0-L0,7su0,H0-L0,True,,
7su0_I0-M0,7su0,I0-M0,True,,
7w1s_B0,7w1s,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7kfh_G0-J0,7kfh,G0-J0,True,,
7kfh_H0-K0,7kfh,H0-K0,True,,
7kfh_I0-L0,7kfh,I0-L0,True,,
7lfd_H0-L0,7lfd,H0-L0,True,,
7z9q_D0,7z9q,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7z9q_E0,7z9q,E0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7z9q_F0,7z9q,F0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
1ek3_A0,1ek3,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL'.,VH-VL check
1ek3_B0,1ek3,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL'.,VH-VL check
1emt_H0-L0,1emt,H0-L0,True,,
4hs8_H0-L0,4hs8,H0-L0,True,,
4ht1_H0-L0,4ht1,H0-L0,True,,
4hwb_H0-L0,4hwb,H0-L0,True,,
4hwe_H0-L0,4hwe,H0-L0,True,,
4hxa_H0-L0,4hxa,H0-L0,True,,
4hxb_H0-L0,4hxb,H0-L0,True,,
4hzl_H0-L0,4hzl,H0-L0,True,,
4hzl_A0-B0,4hzl,A0-B0,True,,
4i0c_C0,4i0c,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
4i0c_D0,4i0c,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
4i13_B0,4i13,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
4i18_H0-L0,4i18,H0-L0,True,,
4i18_A0-B0,4i18,A0-B0,True,,
4i1n_B0,4i1n,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
4i2x_B0-A0,4i2x,B0-A0,True,,
4i2x_D0-C0,4i2x,D0-C0,True,,
4i3r_H0-L0,4i3r,H0-L0,True,,
4i3s_H0-L0,4i3s,H0-L0,True,,
4i77_H0-L0,4i77,H0-L0,True,,
4i9w_E0-D0,4i9w,E0-D0,True,,
4i9w_G0-F0,4i9w,G0-F0,True,,
4idj_H0-L0,4idj,H0-L0,True,,
4idl_A0,4idl,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
4ij3_C0-B0,4ij3,C0-B0,True,,
4iml_H0-L0,4iml,H0-L0,True,,
4iml_A0-B0,4iml,A0-B0,True,,
4iof_C0-D0,4iof,C0-D0,True,,
4iof_E0-F0,4iof,E0-F0,True,,
4ioi_B0-A0,4ioi,B0-A0,True,,
4irz_H0-L0,4irz,H0-L0,True,,
4isv_B0-A0,4isv,B0-A0,True,,
4j1u_B0-A0,4j1u,B0-A0,True,,
4j1u_D0-C0,4j1u,D0-C0,True,,
4j1u_F0-E0,4j1u,F0-E0,True,,
4j4p_H0-L0,4j4p,H0-L0,True,,
4j4p_C0-D0,4j4p,C0-D0,True,,
4j6r_H0-L0,4j6r,H0-L0,True,,
4j8r_B0-A0,4j8r,B0-A0,True,,
4j8r_D0-C0,4j8r,D0-C0,True,,
4jam_H0-L0,4jam,H0-L0,True,,
4jam_A0-B0,4jam,A0-B0,True,,
8bbo_H0-L0,8bbo,H0-L0,True,,
4jan_H0-L0,4jan,H0-L0,True,,
4jan_A0-B0,4jan,A0-B0,True,,
4jb9_H0-L0,4jb9,H0-L0,True,,
4jdt_H0-L0,4jdt,H0-L0,True,,
4jdv_H0-L0,4jdv,H0-L0,True,,
4jdv_A0-B0,4jdv,A0-B0,True,,
4jfx_B0-A0,4jfx,B0-A0,True,,
4jfx_H0-L0,4jfx,H0-L0,True,,
4jfy_B0-A0,4jfy,B0-A0,True,,
4jfy_H0-L0,4jfy,H0-L0,True,,
4jfz_H0-L0,4jfz,H0-L0,True,,
4jg0_H0-L0,4jg0,H0-L0,True,,
7x63_H0-L0,7x63,H0-L0,True,,
6nou_A0-A1,6nou,A0-A1,True,,
6nqd_C0-D0,6nqd,C0-D0,True,,
6nqd_G0-H0,6nqd,G0-H0,True,,
6nqd_K0-L0,6nqd,K0-L0,True,,
6nyq_H0-L0,6nyq,H0-L0,True,,
6nz7_H0-L0,6nz7,H0-L0,True,,
6nz7_G0-I0,6nz7,G0-I0,True,,
6o1f_H0-L0,6o1f,H0-L0,True,,
6wiy_H0-L0,6wiy,H0-L0,True,,
5w5x_H0-L0,5w5x,H0-L0,True,,
6o23_A0-B0,6o23,A0-B0,True,,
6o23_C0-D0,6o23,C0-D0,True,,
6o24_A0-B0,6o24,A0-B0,True,,
6o25_A0-B0,6o25,A0-B0,True,,
6o25_E0-F0,6o25,E0-F0,True,,
6o25_I0-J0,6o25,I0-J0,True,,
1mfa_H0-L0,1mfa,H0-L0,True,,
5gs3_H0-A1,5gs3,H0-A1,True,,
5gs3_A0-H1,5gs3,A0-H1,True,,
6o26_A0-B0,6o26,A0-B0,True,,
6o28_A0-B0,6o28,A0-B0,True,,
6o28_C0-D0,6o28,C0-D0,True,,
5w9h_B0-C0,5w9h,B0-C0,True,,
5w9h_E0-F0,5w9h,E0-F0,True,,
5w9h_H0-I0,5w9h,H0-I0,True,,
6o29_A0-B0,6o29,A0-B0,True,,
6o29_H0-L0,6o29,H0-L0,True,,
6o2a_A0-B0,6o2a,A0-B0,True,,
6o2a_C0-D0,6o2a,C0-D0,True,,
6o2a_H0-I0,6o2a,H0-I0,True,,
6o2a_O0-P0,6o2a,O0-P0,True,,
6o2b_A0-B0,6o2b,A0-B0,True,,
6o2b_C0-D0,6o2b,C0-D0,True,,
6o2b_H0-I0,6o2b,H0-I0,True,,
6o2b_O0-P0,6o2b,O0-P0,True,,
6o2c_A0-B0,6o2c,A0-B0,True,,
6o39_B0-A0,6o39,B0-A0,True,,
1ocw_H0-L0,1ocw,H0-L0,True,,
1mfb_H0-L0,1mfb,H0-L0,True,,
1mfc_H0-L0,1mfc,H0-L0,True,,
6o3a_B0-A0,6o3a,B0-A0,True,,
1mfd_H0-L0,1mfd,H0-L0,True,,
6o3b_B0-A0,6o3b,B0-A0,True,,
6o3b_G0-E0,6o3b,G0-E0,True,,
1mh5_B0-A0,1mh5,B0-A0,True,,
1mh5_H0-L0,1mh5,H0-L0,True,,
6o3c_B0,6o3c,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
6o3d_H0-L0,6o3d,H0-L0,True,,
6xca_H0-L0,6xca,H0-L0,True,,
4ocy_H0-L0,4ocy,H0-L0,True,,
1mhh_B0-A0,1mhh,B0-A0,True,,
1mhh_D0-C0,1mhh,D0-C0,True,,
5wb2_A0,5wb2,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5wb2_D0,5wb2,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
6o3g_A0-B0,6o3g,A0-B0,True,,
6o3g_C0-D0,6o3g,C0-D0,True,,
6o3g_E0-F0,6o3g,E0-F0,True,,
6o3g_H0-L0,6o3g,H0-L0,True,,
1mhp_H0-L0,1mhp,H0-L0,True,,
1mhp_X0-Y0,1mhp,X0-Y0,True,,
6o3j_H0-L0,6o3j,H0-L0,True,,
6o3j_A0-B0,6o3j,A0-B0,True,,
1mie_H0-L0,1mie,H0-L0,True,,
6o3k_H0-L0,6o3k,H0-L0,True,,
6o3l_H0-L0,6o3l,H0-L0,True,,
6o3l_A0-B0,6o3l,A0-B0,True,,
6o3u_H0-L0,6o3u,H0-L0,True,,
6o3u_B0-A0,6o3u,B0-A0,True,,
6o3u_D0-C0,6o3u,D0-C0,True,,
6o3u_F0-E0,6o3u,F0-E0,True,,
1mim_H0-L0,1mim,H0-L0,True,,
1mj7_H0-L0,1mj7,H0-L0,True,,
1mj8_H0-L0,1mj8,H0-L0,True,,
6o41_D0-C0,6o41,D0-C0,True,,
6o41_H0-L0,6o41,H0-L0,True,,
6o41_B0-A0,6o41,B0-A0,True,,
6o42_H0-L0,6o42,H0-L0,True,,
6o42_B0-A0,6o42,B0-A0,True,,
6o89_H0-L1,6o89,H0-L1,True,,
6o89_H1-L0,6o89,H1-L0,True,,
6o8d_H1-L0,6o8d,H1-L0,True,,
6o8d_H0-L1,6o8d,H0-L1,True,,
1mjj_B0-A0,1mjj,B0-A0,True,,
1mjj_H0-L0,1mjj,H0-L0,True,,
6o9h_H0-L0,6o9h,H0-L0,True,,
6o9h_A0-B0,6o9h,A0-B0,True,,
5ik3_A0-B0,5ik3,A0-B0,True,,
5ik3_C0-D0,5ik3,C0-D0,True,,
4ojf_H0-L0,4ojf,H0-L0,True,,
8gv5_C0-D0,8gv5,C0-D0,True,,
5cjo_H0-L0,5cjo,H0-L0,True,,
5cjq_H0-L0,5cjq,H0-L0,True,,
5cjs_H0-L0,5cjs,H0-L0,True,,
5cjs_F0-E0,5cjs,F0-E0,True,,
5cjx_A0-C0,5cjx,A0-C0,True,,
5cjx_D0-E0,5cjx,D0-E0,True,,
5cjx_H0-L0,5cjx,H0-L0,True,,
5cma_B0-A0,5cma,B0-A0,True,,
7ui1_H0-H1,7ui1,H0-H1,True,,
7ui1_I0-I1,7ui1,I0-I1,True,,
7ui1_J0-J1,7ui1,J0-J1,True,,
7ui1_K0-K1,7ui1,K0-K1,True,,
5o02_C0,5o02,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
4lly_A0-B0,4lly,A0-B0,True,,
4lly_C0-D0,4lly,C0-D0,True,,
4m1d_H0-L0,4m1d,H0-L0,True,,
4m1d_I0-M0,4m1d,I0-M0,True,,
5gkr_A0-B0,5gkr,A0-B0,True,,
5gkr_C0-D0,5gkr,C0-D0,True,,
5csz_H0-L0,5csz,H0-L0,True,,
5csz_A0-B0,5csz,A0-B0,True,,
5cus_H0-L0,5cus,H0-L0,True,,
5cus_I0-M0,5cus,I0-M0,True,,
5cus_J0-N0,5cus,J0-N0,True,,
5cus_K0-O0,5cus,K0-O0,True,,
5cws_B0-A0,5cws,B0-A0,True,,
5cws_H0-G0,5cws,H0-G0,True,,
5czv_H0-L0,5czv,H0-L0,True,,
5czx_C0-D0,5czx,C0-D0,True,,
5czx_H0-L0,5czx,H0-L0,True,,
5d1q_B0-A0,5d1q,B0-A0,True,,
5d1q_C0-D0,5d1q,C0-D0,True,,
4m6n_H0-L0,4m6n,H0-L0,True,,
5d1x_B0-A0,5d1x,B0-A0,True,,
5d1x_C0-D0,5d1x,C0-D0,True,,
5d1z_B0-A0,5d1z,B0-A0,True,,
5d1z_G0-H0,5d1z,G0-H0,True,,
5d1z_D0-C0,5d1z,D0-C0,True,,
5d1z_F0-E0,5d1z,F0-E0,True,,
5d6c_H0-L0,5d6c,H0-L0,True,,
5d6c_B0-A0,5d6c,B0-A0,True,,
5d70_H0-L0,5d70,H0-L0,True,,
5d71_H0-L0,5d71,H0-L0,True,,
5d72_H0-L0,5d72,H0-L0,True,,
5d72_M0-N0,5d72,M0-N0,True,,
5d7s_H0-L0,5d7s,H0-L0,True,,
5d8j_H0-L0,5d8j,H0-L0,True,,
5d93_C0-B0,5d93,C0-B0,True,,
5d93_F0-E0,5d93,F0-E0,True,,
5d96_J0-I0,5d96,J0-I0,True,,
5d96_C0-B0,5d96,C0-B0,True,,
3uzq_A0-A1,3uzq,A0-A1,True,,
5d9q_H0-L0,5d9q,H0-L0,True,,
5d9q_F0-E0,5d9q,F0-E0,True,,
5d9q_N0-M0,5d9q,N0-M0,True,,
5d9q_D0-D1,5d9q,D0-D1,True,,
5d9q_I0-I1,5d9q,I0-I1,True,,
5d9q_O0-O1,5d9q,O0-O1,True,,
5da0_B0,5da0,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5o03_C0,5o03,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5o03_D0,5o03,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5o04_E0,5o04,E0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5o04_F0,5o04,F0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5o04_D0,5o04,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5o04_C0,5o04,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5o05_C0,5o05,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5o05_D0,5o05,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5da4_A0,5da4,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5da4_B0,5da4,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5da4_C0,5da4,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5dd0_H0-L0,5dd0,H0-L0,True,,
5dd1_H0-L0,5dd1,H0-L0,True,,
5dd3_H0-L0,5dd3,H0-L0,True,,
5dd5_H0-L0,5dd5,H0-L0,True,,
5dd6_H0-L0,5dd6,H0-L0,True,,
5dd6_A0-B0,5dd6,A0-B0,True,,
5dfv_C0-D0,5dfv,C0-D0,True,,
5dfv_E0-F0,5dfv,E0-F0,True,,
5dfw_H0-H1,5dfw,H0-H1,True,,
5dfz_E0,5dfz,E0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5mwn_D0,5mwn,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5mwn_E0,5mwn,E0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5mwn_F0,5mwn,F0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5mwn_N0,5mwn,N0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5mx3_H0-L0,5mx3,H0-L0,True,,
5mx3_A0-B0,5mx3,A0-B0,True,,
5my4_B0-A0,5my4,B0-A0,True,,
5dhy_A0-B0,5dhy,A0-B0,True,,
5dhy_H0-L0,5dhy,H0-L0,True,,
5dhz_H0-L0,5dhz,H0-L0,True,,
7u5b_A0-B0,7u5b,A0-B0,True,,
7u5b_H0-L0,7u5b,H0-L0,True,,
6d6u_J0-I0,6d6u,J0-I0,True,,
6d6u_K0-L0,6d6u,K0-L0,True,,
7uib_B0,7uib,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7uib_E0,7uib,E0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
6d9g_A0-B0,6d9g,A0-B0,True,,
6d9g_C0-D0,6d9g,C0-D0,True,,
6gxx_H0-L0,6gxx,H0-L0,True,,
4lgs_B0,4lgs,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
6d9w_H0-L0,6d9w,H0-L0,True,,
6db5_H0-L0,6db5,H0-L0,True,,
6db5_I0-M0,6db5,I0-M0,True,,
6db6_H0-L0,6db6,H0-L0,True,,
6db7_I0-M0,6db7,I0-M0,True,,
6db7_H0-L0,6db7,H0-L0,True,,
6db8_H0-L0,6db8,H0-L0,True,,
7txt_C0-D0,7txt,C0-D0,True,,
7txw_H0-L0,7txw,H0-L0,True,,
6jhr_E0-D0,6jhr,E0-D0,True,,
6c6x_C0-D0,6c6x,C0-D0,True,,
6c6x_A0-B0,6c6x,A0-B0,True,,
6c6x_E0-F0,6c6x,E0-F0,True,,
6c6x_H0-L0,6c6x,H0-L0,True,,
6db9_H0-L0,6db9,H0-L0,True,,
6dba_A0,6dba,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
6dba_B0,6dba,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
6dbd_A0,6dbd,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
6dbd_C0,6dbd,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
6dbd_D0,6dbd,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
6dbd_B0,6dbd,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
6dbe_A0,6dbe,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
6dbe_B0,6dbe,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
6dbg_C0,6dbg,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
6dbg_D0,6dbg,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
6dc3_H0-L0,6dc3,H0-L0,True,,
6dc4_H0-L0,6dc4,H0-L0,True,,
6dc5_B0-C0,6dc5,B0-C0,True,,
6dc5_E0-F0,6dc5,E0-F0,True,,
6dc5_H0-I0,6dc5,H0-I0,True,,
6dc7_H0-L0,6dc7,H0-L0,True,,
6dc7_I0-M0,6dc7,I0-M0,True,,
4kkc_C0-D0,4kkc,C0-D0,True,,
4kkc_E0-F0,4kkc,E0-F0,True,,
6dc8_H0-L0,6dc8,H0-L0,True,,
6x78_B0-A0,6x78,B0-A0,True,,
6x78_H0-L0,6x78,H0-L0,True,,
8c7h_L0-K0,8c7h,L0-K0,True,,
3d0v_B0-A0,3d0v,B0-A0,True,,
7lkh_H0-L0,7lkh,H0-L0,True,,
7txz_E0-F0,7txz,E0-F0,True,,
7txz_H0-L0,7txz,H0-L0,True,,
6dc9_H0-L0,6dc9,H0-L0,True,,
6dc9_I0-M0,6dc9,I0-M0,True,,
6dca_I0-M0,6dca,I0-M0,True,,
6dca_J0-N0,6dca,J0-N0,True,,
6dca_H0-L0,6dca,H0-L0,True,,
6dca_K0-O0,6dca,K0-O0,True,,
6dcq_H0-L0,6dcq,H0-L0,True,,
6dcq_M0-N0,6dcq,M0-N0,True,,
6dcv_H0-L0,6dcv,H0-L0,True,,
6dcv_B0-A0,6dcv,B0-A0,True,,
6dcw_H0-L0,6dcw,H0-L0,True,,
6ddm_B0-A0,6ddm,B0-A0,True,,
6ddr_B0-A0,6ddr,B0-A0,True,,
6ddv_B0-A0,6ddv,B0-A0,True,,
5eii_A0-B0,5eii,A0-B0,True,,
5eii_H0-L0,5eii,H0-L0,True,,
7ubx_D0,7ubx,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7ubx_C0,7ubx,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
6dez_B0-A0,6dez,B0-A0,True,,
6dez_H0-L0,6dez,H0-L0,True,,
6x7w_H0-L0,6x7w,H0-L0,True,,
6x7w_A0-C0,6x7w,A0-C0,True,,
1i9j_H0-L0,1i9j,H0-L0,True,,
6df0_H0-L0,6df0,H0-L0,True,,
3nfp_A0-B0,3nfp,A0-B0,True,,
3nfp_H0-L0,3nfp,H0-L0,True,,
6dfh_H0-L0,6dfh,H0-L0,True,,
6dfh_G0-J0,6dfh,G0-J0,True,,
6dfh_I0-K0,6dfh,I0-K0,True,,
6dfi_H0-L0,6dfi,H0-L0,True,,
8w83_A0-B0,8w83,A0-B0,True,,
8w83_E0-F0,8w83,E0-F0,True,,
8w83_I0-J0,8w83,I0-J0,True,,
8w83_M0-N0,8w83,M0-N0,True,,
6did_D0-C0,6did,D0-C0,True,,
6did_K0-E0,6did,K0-E0,True,,
6did_L0-H0,6did,L0-H0,True,,
6mqm_A0-B0,6mqm,A0-B0,True,,
6mqm_D0-E0,6mqm,D0-E0,True,,
6mqm_G0-H0,6mqm,G0-H0,True,,
6mqm_J0-K0,6mqm,J0-K0,True,,
6mqr_H0-L0,6mqr,H0-L0,True,,
6mqs_A0-B0,6mqs,A0-B0,True,,
6mqs_C0-D0,6mqs,C0-D0,True,,
6msy_H0-L0,6msy,H0-L0,True,,
6wik_D0-C0,6wik,D0-C0,True,,
6mtj_D0-E0,6mtj,D0-E0,True,,
6mtj_H0-L0,6mtj,H0-L0,True,,
5gs0_D0-C0,5gs0,D0-C0,True,,
5gs0_F0-E0,5gs0,F0-E0,True,,
5gs0_X0-Y0,5gs0,X0-Y0,True,,
5gs0_H0-L0,5gs0,H0-L0,True,,
6mto_H0-L0,6mto,H0-L0,True,,
5gz0_B0-A0,5gz0,B0-A0,True,,
5gz0_D0-C0,5gz0,D0-C0,True,,
6xbl_S0-S1,6xbl,S0-S1,True,,
5ukb_c0,5ukb,c0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5ukb_b0,5ukb,b0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5ukb_e0,5ukb,e0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5ukb_d0,5ukb,d0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5ukb_a0,5ukb,a0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
6mtp_H0-L0,6mtp,H0-L0,True,,
6mtp_A0-B0,6mtp,A0-B0,True,,
6mtr_H0-L0,6mtr,H0-L0,True,,
6xbm_S0-S1,6xbm,S0-S1,True,,
6mts_H0-L0,6mts,H0-L0,True,,
3v6z_A0-B0,3v6z,A0-B0,True,,
3v6z_C0-D0,3v6z,C0-D0,True,,
6mtt_H0-L0,6mtt,H0-L0,True,,
6mtx_H0-L0,6mtx,H0-L0,True,,
6mty_H0-L0,6mty,H0-L0,True,,
5ukr_H0-L0,5ukr,H0-L0,True,,
6mu3_H0-L0,6mu3,H0-L0,True,,
6mu3_M0-K0,6mu3,M0-K0,True,,
4ios_D0,4ios,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
4ios_E0,4ios,E0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
4ios_F0,4ios,F0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
4ios_G0,4ios,G0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7lvu_D0,7lvu,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7lvu_A0,7lvu,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7lvu_B0,7lvu,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7lvu_C0,7lvu,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7sr3_B0,7sr3,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7sr3_D0,7sr3,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7u2d_H0-L0,7u2d,H0-L0,True,,
6mu8_D0-E0,6mu8,D0-E0,True,,
6mu8_H0-L0,6mu8,H0-L0,True,,
6mub_H0-L0,6mub,H0-L0,True,,
6mub_M0-K0,6mub,M0-K0,True,,
6c9u_H0-L0,6c9u,H0-L0,True,,
4z0b_H0-L0,4z0b,H0-L0,True,,
8d54_A0-B0,8d54,A0-B0,True,,
6mui_C0-D0,6mui,C0-D0,True,,
6mui_G0-H0,6mui,G0-H0,True,,
6mui_K0-L0,6mui,K0-L0,True,,
6mui_O0-P0,6mui,O0-P0,True,,
5gs2_D0-H1,5gs2,D0-H1,True,,
5gs2_H0-D1,5gs2,H0-D1,True,,
6mv5_H0-L0,6mv5,H0-L0,True,,
